Year,Subregion,Species,Total ABC,OY-Total Catch,Commercial OY-Total Catch,LimitedEntry-MT,LimitedEntry-percent,OpenAccess-MT,OpenAccess-Percentage
2008,south,Yellowtail,116,,,,,,
2009,south,Yellowtail,116,,,,,,
2010,south,Yellowtail,116,,,,,,
1995,north,Yellowtail rockfish,6740,,,3760,90.4,400,9.6
1996,north,Yellowtail rockfish,6740,,,3250,90.4,350,9.6
1996,south,Yellowtail rockfish,6740,,,2330,90.4,250,9.6
1997,north,Yellowtail rockfish,1773,,,2497,90.4,265,9.6
1997,south,Yellowtail rockfish,259,,,,,,
1998,north,Yellowtail rockfish,3465,,,2819,90.4,299,9.6
1998,south,Yellowtail rockfish,229,,,,,,
1999,,Yellowtail rockfish,3465,3435,3403,3079,90.4,327,9.6
2000,,Yellowtail rockfish,3539,3539,3449,3163,91.7,286,8.3
2001,,Yellowtail rockfish,3146,3146,3086,2830,91.7,256,8.3
2002,,Yellowtail rockfish,3146,3146,3131,2871,91.7,260,8.3
2003,,Yellowtail rockfish,3146,3146,2717,2492,91.7,226,8.3
2004,,Yellowtail rockfish,4320,4320,4291,3935,91.7,356,8.3
2005,,Yellowtail rockfish,3896,3896,3871,3550,91.7,321,8.3
2006,,Yellowtail rockfish,3681,3681,3655,3352,91.7,303,8.3
2007,,Yellowtail rockfish,4548,4548,,,,,
2008,,Yellowtail rockfish,4548,4548,,,,,
2009,,Yellowtail rockfish,4562,4562,,,91.7,,8.3
2010,,Yellowtail rockfish,4562,4562,,,91.7,,8.3
1995,south,Yellowtail rockfish ,6740,,,2330,90.4,250,9.6
